"id","latitude","longitude","elevation","state","name"
"KZ000036874","43.6000","76.3170","685.0","","UZUNAGAC"
"KZ000036877","43.2000","76.3000","814.0","","UZUNAGAC"
"KZ000036879","43.1000","76.9000","2501.0","","BOL'SOE-ALMAATINSKOE-OZERO"
"KZ000036880","43.2000","77.0000","681.0","","ALATIY-AMC"
"KZ000036884","43.2000","77.0000","1712.0","","ALMA-ATA,MEDEO"
"KZ000036885","43.4000","77.5000","1098.0","","ISSIK"
"KZ000036887","43.1000","77.1000","2268.0","","VERCNIY-GOREL'NIK"
"KZ000036888","43.1000","77.2000","1943.0","","UST'-GOREL'NIK"
"KZ000036889","43.0000","77.1000","3017.0","","MINJILKY"
"KZ000036891","43.9000","78.0000","492.0","","KARACOK"
"KZ000036894","43.6000","78.2500","608.0","","MALIBAY(?)"
"KZ000036897","43.3170","78.2500","2216.0","","ASSY"
"KZ000036907","43.0000","79.2000","1845.0","","KEGEN"
"KZ000036952","42.9000","79.6000","1956.0","","SARYDJAS"
"KZ000038001","44.5500","50.2500","-25.0","","FORT SHEVCHENKO"
"KZ000038002","44.9000","52.7000","-1.0","","KIZAN"
"KZ000038008","44.1500","51.9500","240.0","","TUSHCHIBEK"
"KZ000038019","44.3170","54.6000","143.0","","DUKEN"
"KZ000038044","44.6000","60.9000","55.0","","UJALY"
"KZ000038049","44.0670","62.9000","88.0","","CIRIK-RABAT"
"KZ000038051","44.8830","63.1670","92.0","","KARAK"
"KZ000038052","44.8000","64.1000","110.0","","AKKIRSKIY,SOVHOZ"
"KZ000038062","44.8500","65.5000","130.0","","KYZYLORDA"
"KZ000038069","44.1670","66.7500","153.0","","CIILI"
"KZ000038079","44.1000","68.5000","316.0","","SUZAK,AMSG"
"KZ000038081","44.8000","69.1170","190.0","","TASTY"
"KZ000038082","44.8330","70.0170","207.0","","KAMALI-KUL"
"KZ000038091","44.8000","71.0670","266.0","","ULANBEL'"
"KZ000038092","44.6000","72.1000","288.0","","KARABUGUT"
"KZ000038099","44.2830","72.9500","350.0","","FURMANOVO"
"KZ000038106","44.5000","74.6000","430.0","","TOGUZ"
"KZ000038108","44.2000","73.8000","554.0","","KHANTAU"
"KZ000038111","43.7000","51.1000","16.0","","AKTAU"
"KZ000038119","43.4000","52.7000","200.0","","USEN',AMSG"
"KZ000038124","43.4000","53.3000","178.0","","SENEK"
"KZ000038147","50.0000","77.0000","692.0","","IMENI_ABAYA,SOVHOZ"
"KZ000038151","43.6000","65.9000","59.0","","TEHNICAUL"
"KZ000038162","43.6000","61.9330","64.0","","CABANKAZGAN"
"KZ000038191","43.7170","67.4170","174.0","","AK-KUM"
"KZ000038193","42.8000","68.4000","200.0","","SHAUL'DER"
"KZ000038196","43.5500","68.9000","822.0","","ACHISAJ"
"KZ000038197","43.5000","68.6000","397.0","","KENTAU,AMSG"
"KZ000038198","43.2700","68.2200","206.0","","TURKESTAN"
"KZ000038200","43.7000","69.7000","371.0","","JANATAS"
"KZ000038201","43.7670","69.1830","481.0","","CULAKKURGAN"
"KZ000038202","43.8000","69.9000","336.0","","BAIKADAM"
"KZ000038203","43.7830","70.9330","366.0","","UJUK"
"KZ000038207","43.0330","69.3670","365.0","","CHAYAN"
"KZ000038208","43.2000","70.4000","535.0","","KARATAU"
"KZ000038215","43.4000","72.1000","518.0","","UMBET"
"KZ000038222","43.7000","73.7830","456.0","","TOLE BI"
"KZ000038223","43.8330","74.4000","768.0","","CHOKPAR"
"KZ000038229","43.3500","74.9670","1145.0","","KURDAY"
"KZ000038232","42.9670","54.1170","78.0","","AKKUDUK"
"KZ000038301","42.9000","67.3000","184.0","","KIZILKUM"
"KZ000038313","42.7000","69.0000","240.0","","BUGUN'"
"KZ000038316","42.4330","68.8000","240.0","","ARYS"
"KZ000038317","42.1330","68.1330","238.0","","BAYRKUM"
"KZ000038328","42.3170","69.7000","604.0","","SHYMKENT"
"KZ000038333","42.7000","70.8000","952.0","","BURNO-OKTYABRSK"
"KZ000038334","42.4830","70.3000","808.0","","AUL TURARA RYSKULOV"
"KZ000038335","42.5000","70.6000","1135.0","","CHOKPAK"
"KZ000038337","42.2330","70.1170","1122.0","","BLINKOVO"
"KZ000038338","42.3000","70.4000","1947.0","","CUULDAK"
"KZ000038341","42.8500","71.3830","655.0","","TARAZ"
"KZ000038343","42.9500","72.7500","683.0","","KOOLAN"
"KZ000038344","42.9000","73.2000","702.0","","MERKE"
"KZ000038423","41.8000","66.7170","202.0","","TORUK"
"KZ000038439","41.3670","68.0000","275.0","","CARDARA"
"KZ000038444","41.6000","68.2000","205.0","","UROCICE-BUZAY"
"KZ000038449","41.4000","68.8000","331.0","","UCAKTY"
"KZ000038452","41.8000","69.4000","575.0","","LENINSKOE"
"KZ000038582","40.8330","68.5000","266.0","","ILYICH-IN-UZBEK"
"KZ000038584","40.8000","68.2000","262.0","","IMENI_)LENINA,SOVHOZ"
