STATION,DATE,DP01,DP01_ATTRIBUTES,DP05,DP05_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES
UPM00033605,1986,93,I,,,45,I,,,,,,,,,,,,,,,412.7," ,I",,
UPM00033605,1987,101,I,,,47,I,,,,,,,,,,,,,,,407.1," ,I",,
UPM00033605,1988,125,I,,,62,I,,,,,,,,,,,,,,,549.8," ,I",,
UPM00033605,1990,111,I,,,55,I,,,,,,,,,,,,,,,547.6," ,I",,
UPM00033605,2001,,,,,,,,,,,,,,,41,u,101,u,10,u,,,,
UPM00033317,1961,112,E,,,42,E,,,,,10,E,115,E,48,E,91,E,2,E,402.8," ,E",,
UPM00033317,1962,160,E,,,79,E,,,,,3,E,131,E,75,E,70,E,0,E,700.9," ,E",,
UPM00033317,1963,119,E,,,50,E,,,,,32,E,140,E,95,E,124,E,6,E,426.7," ,E",,
UPM00033317,1964,133,E,,,59,E,,,,,15,E,138,E,80,E,80,E,2,E,695.3," ,E",,
UPM00033317,1965,141,E,,,66,E,,,,,10,E,161,E,73,E,70,E,0,E,658.7," ,E",,
UPM00033317,1966,158,E,,,70,E,,,,,2,E,123,E,52,E,93,E,0,E,593.3," ,E",,
UPM00033317,1967,150,E,,,64,E,,,,,16,E,121,E,64,E,110,E,1,E,503.8," ,E",,
UPM00033317,1968,151,E,,,70,E,,,,,8,E,135,E,83,E,97,E,0,E,702.8," ,E",,
UPM00033317,1969,156,E,,,73,E,,,,,24,E,139,E,90,E,67,E,0,E,895," ,E",,
